AirQualityStation,date,type,area,no2,n
STA-PT03055,2019-04-13,industrial,urban,17.304166666666667,24
STA-PT03055,2019-04-14,industrial,urban,9.279166666666667,24
STA-PT03055,2019-04-15,industrial,urban,13.924999999999999,24
STA-PT03055,2019-04-16,industrial,urban,15.137500000000001,24
STA-PT03055,2019-04-17,industrial,urban,10.0875,24
STA-PT03055,2019-04-18,industrial,urban,16.65,24
STA-PT03055,2019-04-19,industrial,urban,20.775,24
STA-PT03055,2019-04-20,industrial,urban,7.866666666666667,24
STA-PT03055,2019-04-21,industrial,urban,9.945833333333333,24
STA-PT03055,2019-04-22,industrial,urban,14.4125,24
STA-PT03055,2019-04-23,industrial,urban,9.5375,24
STA-PT03055,2019-04-24,industrial,urban,8.075000000000001,24
STA-PT03055,2019-04-25,industrial,urban,6.116666666666666,24
STA-PT03055,2019-04-26,industrial,urban,11.875,24
STA-PT03055,2019-04-27,industrial,urban,9.529166666666667,24
STA-PT03055,2019-04-28,industrial,urban,9.7375,24
STA-PT03055,2019-04-29,industrial,urban,17.016666666666666,24
STA-PT03055,2019-04-30,industrial,urban,11.775,24
STA-PT03055,2019-05-01,industrial,urban,9.291666666666666,24
STA-PT03055,2019-05-02,industrial,urban,15.108333333333334,24
STA-PT03055,2019-05-03,industrial,urban,21.6,24
STA-PT03055,2019-05-04,industrial,urban,14.008333333333333,24
STA-PT03055,2019-05-05,industrial,urban,13.075,24
STA-PT03055,2019-05-06,industrial,urban,10.9875,24
STA-PT03055,2019-05-07,industrial,urban,10.408333333333333,24
STA-PT03055,2019-05-08,industrial,urban,15.762500000000001,24
STA-PT03055,2019-05-09,industrial,urban,11.3875,24
STA-PT03055,2019-05-10,industrial,urban,12.579166666666667,24
STA-PT03055,2019-05-11,industrial,urban,11.854166666666666,24
STA-PT03055,2019-05-12,industrial,urban,7.308333333333334,24
STA-PT03055,2019-05-13,industrial,urban,14.716666666666667,24
STA-PT03055,2019-05-14,industrial,urban,24.429166666666667,24
STA-PT03055,2019-05-15,industrial,urban,25.8125,24
STA-PT03055,2019-05-16,industrial,urban,11.387500000000001,24
STA-PT03055,2019-05-17,industrial,urban,13.6875,24
STA-PT03055,2019-05-18,industrial,urban,7.916666666666667,24
STA-PT03055,2019-05-19,industrial,urban,8.9375,24
STA-PT03055,2019-05-20,industrial,urban,11.416666666666666,24
STA-PT03055,2019-05-21,industrial,urban,12.541666666666666,24
STA-PT03055,2019-05-22,industrial,urban,15.1875,24
STA-PT03055,2019-05-23,industrial,urban,10.958333333333334,24
STA-PT03055,2019-05-24,industrial,urban,16.277272727272727,22
STA-PT03055,2019-05-25,industrial,urban,13.866666666666667,24
STA-PT03055,2019-05-26,industrial,urban,14.195833333333333,24
STA-PT03055,2019-05-27,industrial,urban,13.7625,24
STA-PT03055,2019-05-28,industrial,urban,20.191666666666666,24
STA-PT03055,2019-05-29,industrial,urban,11.220833333333333,24
STA-PT03055,2019-05-30,industrial,urban,13.466666666666667,24
STA-PT03055,2019-05-31,industrial,urban,20.233333333333334,24
STA-PT03055,2019-06-01,industrial,urban,23.625,24
STA-PT03055,2019-06-02,industrial,urban,22.491666666666667,24
STA-PT03055,2019-06-03,industrial,urban,12.791666666666666,24
STA-PT03055,2019-06-04,industrial,urban,8.725,24
STA-PT03055,2019-06-05,industrial,urban,6.679166666666666,24
STA-PT03055,2019-06-06,industrial,urban,10.041666666666666,24
STA-PT03055,2019-06-07,industrial,urban,11.491666666666667,24
STA-PT03055,2019-06-08,industrial,urban,8.095833333333333,24
STA-PT03055,2019-06-09,industrial,urban,7,24
STA-PT03055,2019-06-10,industrial,urban,8.004166666666666,24
STA-PT03055,2019-06-11,industrial,urban,14.504166666666666,24
STA-PT03055,2019-06-12,industrial,urban,12.108333333333333,24
STA-PT03055,2019-06-13,industrial,urban,9.0625,24
STA-PT03055,2019-06-14,industrial,urban,11.204166666666667,24
STA-PT03055,2019-06-15,industrial,urban,10.266666666666667,24
STA-PT03055,2019-06-16,industrial,urban,7.204166666666667,24
STA-PT03055,2019-06-17,industrial,urban,11.358333333333333,24
STA-PT03055,2019-06-18,industrial,urban,7.020833333333333,24
STA-PT03055,2019-06-19,industrial,urban,10.370833333333334,24
STA-PT03055,2019-06-20,industrial,urban,7.495833333333334,24
STA-PT03055,2019-06-21,industrial,urban,9.770833333333334,24
STA-PT03055,2019-06-22,industrial,urban,11.6,24
STA-PT03055,2019-06-23,industrial,urban,8.85,24
STA-PT03055,2019-06-24,industrial,urban,17.295833333333334,24
STA-PT03055,2019-06-25,industrial,urban,19.170833333333334,24
STA-PT03055,2019-06-26,industrial,urban,13.875,24
STA-PT03055,2019-06-27,industrial,urban,14.308333333333334,24
STA-PT03055,2019-06-28,industrial,urban,12.55,24
STA-PT03055,2019-06-29,industrial,urban,11.695833333333333,24
STA-PT03055,2019-06-30,industrial,urban,8.991666666666667,24
STA-PT03055,2019-07-01,industrial,urban,9.820833333333333,24
STA-PT03055,2019-07-02,industrial,urban,9.1375,24
STA-PT03055,2019-07-03,industrial,urban,10.35,24
STA-PT03055,2019-07-04,industrial,urban,9.666666666666666,24
STA-PT03055,2019-07-05,industrial,urban,9.766666666666667,24
STA-PT03055,2019-07-06,industrial,urban,9.104166666666666,24
STA-PT03055,2019-07-07,industrial,urban,9.983333333333333,24
STA-PT03055,2019-07-08,industrial,urban,12.3125,24
STA-PT03055,2019-07-09,industrial,urban,12.4625,24
STA-PT03055,2019-07-10,industrial,urban,14.966666666666667,24
STA-PT03055,2019-07-11,industrial,urban,19.079166666666666,24
STA-PT03055,2019-07-12,industrial,urban,17.741666666666667,24
STA-PT03055,2019-07-13,industrial,urban,7.4625,24
STA-PT03055,2019-07-14,industrial,urban,6.970833333333333,24
STA-PT03055,2019-07-15,industrial,urban,8.908333333333333,24
STA-PT03055,2019-07-16,industrial,urban,10.833333333333334,24
STA-PT03055,2019-07-17,industrial,urban,8.545833333333333,24
STA-PT03055,2019-07-18,industrial,urban,15.439130434782609,23
STA-PT03055,2019-07-19,industrial,urban,13.1875,24
STA-PT03055,2019-07-20,industrial,urban,12.120833333333334,24
STA-PT03055,2019-07-21,industrial,urban,11.033333333333333,24
STA-PT03055,2019-07-22,industrial,urban,18.4875,24
STA-PT03055,2019-07-23,industrial,urban,10.9375,24
STA-PT03055,2019-07-24,industrial,urban,14.116666666666667,24
STA-PT03055,2019-07-25,industrial,urban,9.416666666666666,24
STA-PT03055,2019-07-26,industrial,urban,6.270833333333333,24
STA-PT03055,2019-07-27,industrial,urban,7.966666666666667,24
STA-PT03055,2019-07-28,industrial,urban,6.029166666666667,24
STA-PT03055,2019-07-29,industrial,urban,11.495833333333334,24
STA-PT03055,2019-07-30,industrial,urban,13.854545454545455,22
STA-PT03055,2019-07-31,industrial,urban,12.966666666666667,24
STA-PT03055,2019-08-01,industrial,urban,9.504166666666666,24
STA-PT03055,2019-08-02,industrial,urban,8.704166666666667,24
STA-PT03055,2019-08-03,industrial,urban,6.104166666666667,24
STA-PT03055,2019-08-04,industrial,urban,5.970833333333333,24
STA-PT03055,2019-08-05,industrial,urban,9.929166666666667,24
STA-PT03055,2019-08-06,industrial,urban,8.754166666666666,24
STA-PT03055,2019-08-13,industrial,urban,16.8125,24
STA-PT03055,2019-08-14,industrial,urban,10.7625,24
STA-PT03055,2019-08-15,industrial,urban,12.741666666666667,24
STA-PT03055,2019-08-16,industrial,urban,10.3375,24
STA-PT03055,2019-08-17,industrial,urban,5.183333333333334,24
STA-PT03055,2019-08-18,industrial,urban,6.229166666666667,24
STA-PT03055,2019-08-19,industrial,urban,7.354166666666667,24
STA-PT03055,2019-08-20,industrial,urban,10.145833333333334,24
STA-PT03055,2019-08-21,industrial,urban,18.333333333333332,24
STA-PT03055,2019-08-22,industrial,urban,23.566666666666666,24
STA-PT03055,2019-08-23,industrial,urban,30.316666666666666,24
STA-PT03055,2019-08-24,industrial,urban,15.420833333333334,24
STA-PT03055,2019-08-25,industrial,urban,8.766666666666667,24
STA-PT03055,2019-08-26,industrial,urban,11.858333333333334,24
STA-PT03055,2019-08-27,industrial,urban,7.316666666666666,24
STA-PT03055,2019-08-28,industrial,urban,8.7,24
STA-PT03055,2019-08-29,industrial,urban,10.4375,24
STA-PT03055,2019-08-30,industrial,urban,19.225,24
STA-PT03055,2019-08-31,industrial,urban,11.441666666666666,24
STA-PT03055,2019-09-01,industrial,urban,7.716666666666667,24
STA-PT03055,2019-09-02,industrial,urban,21.908333333333335,24
STA-PT03055,2019-09-03,industrial,urban,35.15,24
STA-PT03055,2019-09-04,industrial,urban,33.420833333333334,24
STA-PT03055,2019-09-05,industrial,urban,19.383333333333333,24
STA-PT03055,2019-09-06,industrial,urban,15.429166666666667,24
STA-PT03055,2019-09-07,industrial,urban,17.066666666666666,24
STA-PT03055,2019-09-08,industrial,urban,16.045833333333334,24
STA-PT03055,2019-09-09,industrial,urban,18.4,24
STA-PT03055,2019-09-10,industrial,urban,9.908333333333333,24
STA-PT03055,2019-09-11,industrial,urban,15.862499999999999,24
STA-PT03055,2019-09-12,industrial,urban,11.4125,24
STA-PT03055,2019-09-13,industrial,urban,7.945833333333333,24
STA-PT03055,2019-09-14,industrial,urban,10.304166666666667,24
STA-PT03055,2019-09-15,industrial,urban,15.9,24
STA-PT03055,2019-09-16,industrial,urban,11.741666666666667,24
STA-PT03055,2019-09-17,industrial,urban,20.516666666666666,24
STA-PT03055,2019-09-18,industrial,urban,19.9875,24
STA-PT03055,2019-09-19,industrial,urban,13.720833333333333,24
STA-PT03055,2019-09-20,industrial,urban,17.045833333333334,24
STA-PT03055,2019-09-21,industrial,urban,9.070833333333333,24
STA-PT03055,2019-09-22,industrial,urban,15.379166666666666,24
STA-PT03055,2019-09-23,industrial,urban,25.845833333333335,24
STA-PT03055,2019-09-24,industrial,urban,18.895833333333332,24
STA-PT03055,2019-09-25,industrial,urban,8.216666666666667,24
STA-PT03055,2019-09-26,industrial,urban,9.375,24
STA-PT03055,2019-09-27,industrial,urban,8.966666666666667,24
STA-PT03055,2019-09-28,industrial,urban,9.975,24
STA-PT03055,2019-09-29,industrial,urban,7.3125,24
STA-PT03055,2019-09-30,industrial,urban,14.9125,24
STA-PT03055,2019-10-01,industrial,urban,13.533333333333333,24
STA-PT03055,2019-10-02,industrial,urban,10.2125,24
STA-PT03055,2019-10-03,industrial,urban,12.726086956521739,23
STA-PT03055,2019-10-04,industrial,urban,15.966666666666667,24
STA-PT03055,2019-10-05,industrial,urban,8.654166666666667,24
STA-PT03055,2019-10-06,industrial,urban,7.204166666666667,24
STA-PT03055,2019-10-07,industrial,urban,13.475,24
STA-PT03055,2019-10-08,industrial,urban,10.766666666666667,24
STA-PT03055,2019-10-09,industrial,urban,8.8625,24
STA-PT03055,2019-10-10,industrial,urban,26.325,24
STA-PT03055,2019-10-11,industrial,urban,39.42916666666667,24
STA-PT03055,2019-10-12,industrial,urban,18.7125,24
STA-PT03055,2019-10-13,industrial,urban,4.85,24
STA-PT03055,2019-10-14,industrial,urban,12.608333333333333,24
STA-PT03055,2019-10-15,industrial,urban,23.629166666666666,24
STA-PT03055,2019-10-16,industrial,urban,17.058333333333334,24
STA-PT03055,2019-10-17,industrial,urban,9.733333333333333,24
STA-PT03055,2019-10-18,industrial,urban,17.9375,24
STA-PT03055,2019-10-19,industrial,urban,8.495833333333334,24
STA-PT03055,2019-10-20,industrial,urban,8.541666666666666,24
STA-PT03055,2019-10-21,industrial,urban,26.375,24
STA-PT03055,2019-10-22,industrial,urban,13.035,20
STA-PT03055,2019-10-23,industrial,urban,10.35,24
STA-PT03055,2019-10-24,industrial,urban,28.620833333333334,24
STA-PT03055,2019-10-25,industrial,urban,29.691666666666666,24
STA-PT03055,2019-10-26,industrial,urban,24.85,24
STA-PT03055,2019-10-27,industrial,urban,17.370833333333334,24
STA-PT03055,2019-10-28,industrial,urban,16.825,24
STA-PT03055,2019-10-29,industrial,urban,17.641666666666666,24
STA-PT03055,2019-10-30,industrial,urban,16.904166666666665,24
STA-PT03055,2019-10-31,industrial,urban,27.316666666666666,24
STA-PT03055,2019-11-01,industrial,urban,32.63333333333333,24
STA-PT03055,2019-11-02,industrial,urban,23.0125,24
STA-PT03055,2019-11-03,industrial,urban,11.8625,24
STA-PT03055,2019-11-04,industrial,urban,12.425,24
STA-PT03055,2019-11-05,industrial,urban,15.066666666666666,24
STA-PT03055,2019-11-06,industrial,urban,20.529166666666665,24
STA-PT03055,2019-11-07,industrial,urban,10.725,24
STA-PT03055,2019-11-08,industrial,urban,10.558333333333334,24
STA-PT03055,2019-11-09,industrial,urban,24.729166666666668,24
STA-PT03055,2019-11-10,industrial,urban,6.183333333333334,24
STA-PT03055,2019-11-11,industrial,urban,10.695833333333333,24
STA-PT03055,2019-11-12,industrial,urban,16.745833333333334,24
STA-PT03055,2019-11-13,industrial,urban,12.160869565217391,23
STA-PT03055,2019-11-14,industrial,urban,7.3125,24
STA-PT03055,2019-11-15,industrial,urban,11.775,24
STA-PT03055,2019-11-16,industrial,urban,14.3625,24
STA-PT03055,2019-11-17,industrial,urban,8.841666666666667,24
STA-PT03055,2019-11-18,industrial,urban,11.179166666666667,24
STA-PT03055,2019-11-19,industrial,urban,32.42916666666667,24
STA-PT03055,2019-11-20,industrial,urban,22.058333333333334,24
STA-PT03055,2019-11-21,industrial,urban,18.766666666666666,24
STA-PT03055,2019-11-22,industrial,urban,6.778260869565218,23
